rownum,value
17,Coupe
1,Convertible
2,Sedan
3,Wagon
4,4dr Hatchback
5,2dr Hatchback
6,4dr SUV
7,Crew Cab Pickup
8,Extended Cab Pickup
9,Regular Cab Pickup
10,Passenger Minivan
11,Cargo Minivan
12,2dr SUV
13,Convertible SUV
14,Cargo Van
15,Passenger Van
