id,name,value
1,Hybrid,2
2,Exotic,4
3,High-Performance,8
4,Factory Tuner,16
5,Performance,32
6,Hatchback,64
7,Diesel,128
8,Crossover,256
9,Flex Fuel,512
10,Luxury,1024
